text
Commerce Secretary Howard Lutnick has played a supersize role in Trump’s first months in office. But he has come to frustrate executives and senior White House officials. https://t.co/ZESt3squmn
"From @WSJopinion: Rather than seeking favor with Trump, Milei would be better served enhancing Argentina’s economic independence by repairing the country’s monetary system. Dollarization is the best way to get there, writes @MaryAnastasiaOG. https://t.co/cMNSFdw1ge"
"Leslie Bibb, who plays Kate on “The White Lotus,” talks about her character’s conservative politics and why she hasn’t seen any of the show, including the finale. 

(This article contains spoilers for “The White Lotus,” season 3, episode 8.) https://t.co/dJlYdcVM1e"
"Breaking: The Supreme Court lifted an order that had blocked the deportation of suspected Venezuelan gang members, but the detainees can challenge their removal in court https://t.co/vBM0YEbTFd"
"President Trump calls his latest tariffs reciprocal measures. Yet the upshot is that, in most cases, Washington is now charging other countries more than what they charge the U.S. https://t.co/f803XnTJj8"
"Shopify won’t make new hires unless managers can prove artificial intelligence isn’t capable of doing the job, according to a new memo from CEO Tobi Lütke. https://t.co/4Qw3pE5X8f"
"From @WSJopinion: Trump’s reciprocal tariffs stretch IEEPA beyond its scope, sidestepping Congress’s constitutional authority. This undermines the separation of powers and sets a dangerous precedent, writes @pasracic. https://t.co/1sf1Ve8A3y"
"Michigan is ground zero for Trump’s trade war, and tariffs are already starting to bite. “I don’t have 20% margin to give.” https://t.co/Mn5feHaO3P"
"U.S. stocks took a heavy beating for two days in a row last week. On Monday, it was the rest of the world’s turn. https://t.co/GC310odZvM"
"President Trump is quickly ramping up his tariff war with the rest of the world. 

On April 7, he said he planned to add an additional 50% tariff on China starting April 9 if the country doesn’t withdraw its retaliatory tariff increase on the U.S. https://t.co/9KFpllYGJ9"
The longtime “Grey’s Anatomy” star enjoyed playing an unlikeable woman in her latest role https://t.co/1guAvPaoqW
"Some government officials have defended their use of commercial apps, including Gmail and X, by drawing a line between their professional and personal online activity.

But for hackers, there are no such boundaries. https://t.co/39sKz6YMHP"
"Exclusive: The San Francisco home of Roth Martin, a co-founder of the cult-favorite shoe brand Rothy’s, is coming on the market with an asking price of $15.495 million https://t.co/crCgpyOut9"
The Supreme Court gave the Trump administration a temporary reprieve from lower court orders requiring it to bring back by midnight Monday a Salvadoran man officials say they deported in error https://t.co/ugemRZyjEP
A false headline on tariffs added $2.4 trillion of market value in minutes—then erased it just as quickly https://t.co/FrY1DyZDJk
"Exclusive: Privately run Medicare Advantage plans will get a sizable payment bump from the federal government, thanks to a 5.06% increase announced by the Trump administration Monday https://t.co/vBktBiIgvb"
A wild day of trading ended with stocks lower. The rollercoaster session saw the S&amp;P 500 sink as far as 4.7% and rebound as high as 3.4%. https://t.co/2E0wLi6exf
"President Trump said the U.S. will hold direct talks “at almost the highest level” with Iran, with a meeting set for Saturday https://t.co/jAzbbSMsvi"
"House Republicans’ moves to advance President Trump’s “one big, beautiful bill” this week have been cast into doubt by defections from GOP lawmakers https://t.co/i7sDNxt3av"
A high-end sex work operation catering to Boston’s elites charged up to $600 an hour before federal prosecutors brought it down https://t.co/mZEFYnwdDL
"Elon Musk, one of President Trump’s most visible and influential advisers, is leveling veiled critiques at the White House’s trade agenda, exposing tensions within the administration over the president’s far-reaching tariffs https://t.co/KeqRcXjyAd"
"From @WSJopinion: The market signals that shouldn’t be ignored: A selloff in the junk bond market, flight from the U.S. dollar, and worsening recession predictions https://t.co/diJUPJRL3n"
"Massive protests against President Trump took place across the U.S. and in different parts of the world.

Read more: https://t.co/bzzXr1Xc4X https://t.co/E6fB6TESge"
"Exclusive: David’s Bridal is getting into luxury wedding dresses. For its first launch, it’s tapping a familiar name: Georgina Chapman of Marchesa. https://t.co/8KGaaBfyvc"
Exclusive: Apple plans to send more iPhones to the U.S. from India to offset the high cost of China tariffs https://t.co/yu8nkE9h1N
Russia’s killing of nine children in a missile strike has brought into focus the failure of President Trump to fulfill his campaign pledge of a swift end to the war https://t.co/FXEY624ptz
Our reviewers on more than two dozen of the season’s most beguiling new books https://t.co/arbTcSKWuz
